config_id,lambda_pde,lambda_divergence,lambda_boundary,lambda_pressure_anchor,score,final_total_loss,final_loss_pde,final_loss_divergence,final_loss_boundary,final_loss_pressure_anchor
0,1.0,1.0,1.0,0.1,21.02133560180664,21.140342712402344,21.02133560180664,0.11507228761911392,0.0,0.03934282436966896
1,1.0,1.0,0.1,0.1,16.845226287841797,16.997316360473633,16.845226287841797,0.14436891674995422,0.0,0.0772094875574112
2,2.0,1.0,1.0,0.1,17.13172149658203,34.39967727661133,17.13172149658203,0.12660974264144897,0.0,0.09623334556818008
3,5.0,1.0,1.0,0.1,16.784332275390625,84.03810119628906,16.784332275390625,0.10364863276481628,0.0,0.12794163823127747
4,10.0,1.0,1.0,0.1,25.397754669189453,254.11569213867188,25.397754669189453,0.130928635597229,0.0,0.07214880734682083
5,20.0,1.0,1.0,0.1,30.900434494018555,618.1567993164062,30.900434494018555,0.11941972374916077,0.0,0.2871437966823578
6,50.0,1.0,1.0,0.1,32.61553955078125,1631.0225830078125,32.61553955078125,0.1566510796546936,0.0,0.89019376039505
7,1.0,2.0,1.0,0.1,26.47858428955078,26.70269203186035,26.47858428955078,0.10943657159805298,0.0,0.05233900249004364
8,1.0,5.0,1.0,0.1,17.192108154296875,17.711700439453125,17.192108154296875,0.1031690388917923,0.0,0.03748733922839165
9,1.0,10.0,1.0,0.1,15.313749313354492,16.180185317993164,15.313749313354492,0.08628542721271515,0.0,0.03582003712654114
10,1.0,20.0,1.0,0.1,23.19332504272461,25.018037796020508,23.19332504272461,0.09115129709243774,0.0,0.01685621589422226
11,2.0,2.0,1.0,0.1,18.200876235961914,36.663719177246094,18.200876235961914,0.12716743350028992,0.0,0.07632909715175629
12,5.0,2.0,1.0,0.1,24.10001564025879,120.77515411376953,24.10001564025879,0.13110846281051636,0.0,0.12863582372665405
13,5.0,5.0,1.0,0.1,23.032711029052734,115.73857879638672,23.032711029052734,0.10989264398813248,0.0,0.2555672824382782
14,5.0,10.0,1.0,0.1,15.361757278442383,77.89305114746094,15.361757278442383,0.10812530666589737,0.0,0.030126579105854034
15,10.0,2.0,1.0,0.1,17.495832443237305,175.23915100097656,17.495832443237305,0.13356392085552216,0.0,0.1369670182466507
16,10.0,5.0,1.0,0.1,16.908666610717773,169.7911834716797,16.908666610717773,0.13967996835708618,0.0,0.06125227361917496
17,10.0,10.0,1.0,0.1,31.16545867919922,313.0160827636719,31.16545867919922,0.1314600557088852,0.0,0.46885520219802856
18,20.0,5.0,1.0,0.1,20.780057907104492,416.345458984375,20.780057907104492,0.14378653466701508,0.0,0.25374507904052734
19,5.0,5.0,0.1,0.1,16.645763397216797,83.82907104492188,16.645763397216797,0.11499634385108948,0.0,0.2526809275150299
20,10.0,5.0,0.1,0.1,30.607467651367188,306.73284912109375,30.607467651367188,0.12231501936912537,0.0,0.4660547375679016
21,10.0,10.0,0.1,0.1,26.06704330444336,261.853759765625,26.06704330444336,0.11788412928581238,0.0,0.04472186788916588
22,5.0,5.0,1.0,1.0,14.440162658691406,72.78231811523438,14.440162658691406,0.11512423306703568,0.0,0.005881241988390684
23,10.0,5.0,1.0,1.0,13.137067794799805,131.9651641845703,13.137067794799805,0.11344337463378906,0.0,0.02727477252483368
24,10.0,10.0,1.0,1.0,25.847774505615234,259.701416015625,25.847774505615234,0.11985959112644196,0.0,0.025040168315172195
