Method,Mean velocity error (%),Mean pressure error (%),Mean FOM time (s),Mean ROM time (s),Mean speedup
POD-Galerkin,0.16172686413799,0.67544005140206,1.022820681198209,0.002465791501163,426.92906850982206
PODNN,14.765869070643308,12.92931832552015,1.016332963304012,0.0029093813020153,487.870633590123
PINN,73.36440410737002,114.04099566400912,0.6307833902988932,9.396487716502453,0.067113448405007
