metric,mean,max,min,std
err_U,0.12930309240754007,0.42479192767531143,0.04329371920566803,0.1129601918197225
err_u_x,0.18555064995280862,0.3264209469743076,0.022157592646505513,0.08824175498156483
err_u_y,0.21006475651013976,0.41813480163568234,0.033319420372941305,0.10377700341108678
err_u_mag,0.14765869070643312,0.23779871199363734,0.021425156968041134,0.06213196624687299
err_p,0.1292931832552015,0.4249041368160222,0.04331502421670498,0.11299013364231975
fom_time_s,1.0163329633040121,1.0893422400113195,0.9825423740112456,0.02883181674229512
rom_time_s,0.00290938130201539,0.011361821001628414,0.001302578006288968,0.0028309090408730584
speedup,487.870633590123,836.2971236669694,89.74950035310532,172.07649317681165
fom_iterations,3.0,3,3,0.0
rom_iterations,nan,nan,nan,nan
fom_dofs,6761,6761,6761,0.0
rom_dofs,49,49,49,0.0
compression_ratio,137.9795918367347,137.9795918367347,137.9795918367347,0.0
