metric,mean,max,min,std
err_U,0.006753315847076324,0.029399219443049004,0.0009043717134978282,0.009478814903216119
err_u_x,0.002012160022790409,0.008135677483158028,0.00016407511652145458,0.0023323546502110656
err_u_y,0.00267471686584176,0.008224239967667472,0.00032371184952573217,0.0021847628775483584
err_u_mag,0.0016172732767544482,0.005956112826136867,0.00014829220312620686,0.0016223102758652977
err_p,0.006754324096350024,0.029400004620188058,0.000905015249627993,0.009480172275135503
fom_time_s,0.4139554665773176,0.41890474990941584,0.4093202499207109,0.0028231132691617354
rom_time_s,0.0006233665044419467,0.0006564159411936998,0.0006115830037742853,1.2796667766132899e-05
speedup,664.3183422396853,679.7679189120597,631.7518723718957,13.144036535074113
fom_iterations,3.0,3,3,0.0
rom_iterations,3.0,3,3,0.0
fom_dofs,6761,6761,6761,0.0
rom_dofs,49,49,49,0.0
compression_ratio,137.9795918367347,137.9795918367347,137.9795918367347,0.0
