metric,mean,max,min,std
err_U,1.086822122258138,1.342468659660972,0.9850059969614859,0.10963842213829234
err_u_x,0.6533483990543665,1.1991472580032438,0.3043951567884163,0.29330999329330576
err_u_y,1.4569512933914746,2.0334479938717527,1.016986871327869,0.32802009554673084
err_u_mag,0.7278609239416578,0.9123175387041079,0.6400687703504637,0.07807934803220622
err_p,1.086870375414403,1.3428344574637983,0.9849716790621733,0.10973434255738058
fom_time_s,0.4213013543003399,0.43049508400144987,0.4109166250000271,0.006836243045827083
rom_time_s,24.34518207510009,26.071773415998905,23.670216833001177,0.6645865340071082
speedup,0.01731459284813419,0.017955513778159262,0.016446924923669337,0.0004254259242140643
fom_iterations,3.0,3,3,0.0
rom_iterations,nan,nan,nan,nan
fom_dofs,6761,6761,6761,0.0
rom_dofs,166211,166211,166211,0.0
compression_ratio,0.04067721149623069,0.04067721149623069,0.04067721149623069,0.0
