test_id,mu0,mu1,err_U,err_u_x,err_u_y,err_u_mag,err_p,fom_time_s,rom_time_s,speedup,fom_iterations,rom_iterations,fom_converged,rom_converged
1,7.141166769233291,1.1076420376044454,1.2306567719968375,0.483957751282394,1.184274475675123,0.7629329901449259,1.230719655709738,0.42880049999985204,26.071773415998905,0.016446924923669337,3,nan,True,nan
2,2.9832388549535023,1.3687436213973394,1.342468659660972,0.3043951567884163,2.0334479938717527,0.7695894349415635,1.3428344574637983,0.4185618749997957,24.915076958999634,0.01679954172682601,3,nan,True,nan
3,2.583153109765273,2.6241890133115473,1.0163250444368732,0.9236724949778152,1.0918230078761237,0.7360652125668474,1.0163301705429177,0.42822062500090396,24.569014833999972,0.017429295716338954,3,nan,True,nan
4,9.310104982243507,1.5531487955942125,1.0011440181502465,0.6923642298528476,1.3802827926581729,0.6687117670934756,1.0011468745644971,0.4109166250000271,24.01454470799945,0.017111156176246277,3,nan,True,nan
5,8.377791054337019,2.779785386222372,1.063628760674451,1.1991472580032438,1.2811515959852777,0.9123175387041079,1.0636176917156617,0.42940187500062166,24.18549691700173,0.017754519432625928,3,nan,True,nan
6,5.616734097065787,1.489929202137593,1.111042915523174,0.4605521189126284,1.6277203533640083,0.6457829661801954,1.111094103179318,0.4143547090006905,24.00874662499882,0.017258489810927848,3,nan,True,nan
7,8.418174364876702,1.427525926750191,1.0819668768691129,0.30641234538512846,1.8849202554670754,0.6642151076196658,1.0819830765650247,0.4182237499990151,23.670216833001177,0.017668775615774027,3,nan,True,nan
8,7.673203470112387,2.2598804091793614,0.9850059969614859,0.972192920050459,1.3328748702352247,0.7680818162190917,0.9849716790621733,0.41831112500040035,24.091257083000528,0.0173636072023644,3,nan,True,nan
9,9.346665326726503,1.4638163772128376,1.0387468614944273,0.40639997275155687,1.7360307174541183,0.6400687703504637,1.0387570907124726,0.43049508400144987,23.975648334000653,0.017955513778159262,3,nan,True,nan
10,8.192126157580747,2.0363300737054284,0.9972353168138011,0.7843897425391739,1.016986871327869,0.7108436355962404,0.9972489546284286,0.4157273750006425,23.950045042000056,0.017358104098409884,3,nan,True,nan
